stationId,locationId,facilityType,station_name,address,device_count,open_time,update_time
100000,500000,3,东城区·BMW公共充电桩,北京市北京市东城区励骏酒店停车场(灯市口地铁站C东南口步行340米),4,00:00-24:00,2019/7/26
100001,500001,3,东城区·PP充电汽车充电站(北京和平里宾馆),北京市北京市东城区和平里兴化路化工大院4号楼北京和平里宾馆,4,00:00-24:00,2019/7/26
100002,500002,2,东城区·bp pulse汽车充电站(bp pulse快充站北,北京市北京市东城区百荣嘉园大厦停车场,1,00:00-24:00,2019/7/26
100003,500003,2,东城区·一瓦充电充电站(和平里医院),北京市北京市东城区和平里医院(靠近西门处),4,00:00-24:00,2019/7/26
100004,500004,1,东城区·万城万充汽车充电站(歌华大厦),北京市北京市东城区歌华大厦停车场,1,00:00-24:00,2019/7/26
100005,500005,1,东城区·万马爱充汽车充电站(万马爱充金宝大厦站),北京市北京市东城区建国门街道金宝街89号金宝大厦地下车库,6,00:00-24:00,2019/7/26
100006,500006,1,东城区·东四小区南门电动自行车充电桩,北京市北京市东城区朝阳门内大街148号,12,00:00-24:00,2019/7/26
100007,500007,3,东城区·中国化学大厦充电站(东直门内大街),北京市北京市东城区仓夹道与北新仓胡同交叉口北40米,1,00:00-24:00,2019/7/26
100008,500008,2,东城区·中国石化汽车充电站(出版社充电站内部充电站),北京市北京市东城区安定门外大街58号,1,00:00-24:00,2019/7/26
100009,500009,2,东城区·中国石化汽车充电站(幸福路全季酒店充电站),北京市北京市东城区永定门外街道彭庄甲58号全季酒店停车场,2,00:00-24:00,2019/7/26
100010,500010,2,东城区·中国石化汽车充电站(鼎新大厦充电站),北京市北京市东城区东花市街道广渠门内大街29号鼎新大厦西门地上停车场,8,00:00-24:00,2019/7/26
100011,500011,1,东城区·丹途骏胜汽车充电站(沙子口),北京市北京市东城区北京市东城区沙子口路沙子口路78号院,2,00:00-24:00,2019/7/26
100012,500012,2,东城区·云快充充电站(大磨坊文创园站),北京市北京市东城区三元街与永定门桥交叉口南180米,2,00:00-24:00,2019/7/26
100013,500013,2,东城区·云快充汽车充电站(万国城MOMA淘淘充充电站),北京市北京市东城区香河园路1号万国城MOMA8号楼北1门外地面停车场,2,00:00-24:00,2019/7/26
100014,500014,2,东城区·云快充目的地充电站(北京泓慧能源),北京市北京市东城区时代凌宇,4,00:00-24:00,2019/7/26
