sessionId,kwhTotal,charging_fees,created,ended,startTime,endTime,chargeTimeHrs,weekday,platform,userId,stationId,locationId,managerVehicle,facilityType,Mon,Tues,Wed,Thurs,Fri,Sat,Sun
1366563,7.78,0,0014-11-18 15:40:26,0014-11-18 17:11:04,15,17,1.510555556,Tue,android,35897499,101861,501861,0,4,0,1,0,0,0,0,0
3075723,9.74,0,0014-11-19 17:40:26,0014-11-19 19:51:04,17,19,2.177222222,Wed,android,35897499,101602,501602,0,1,0,0,1,0,0,0,0
4228788,6.76,0.58,0014-11-21 12:05:46,0014-11-21 16:46:04,12,16,4.671666667,Fri,android,35897499,100011,500011,0,1,0,0,0,0,1,0,0
3173284,6.17,0,0014-12-03 19:16:12,0014-12-03 21:02:18,19,21,1.768333333,Wed,android,35897499,101750,501750,0,2,0,0,1,0,0,0,0
3266500,0.93,0,0014-12-11 20:56:11,0014-12-11 21:14:06,20,21,0.298611111,Thu,android,35897499,101084,501084,0,1,0,0,0,1,0,0,0
4099366,2.14,0,0014-12-12 14:38:44,0014-12-12 15:04:04,14,15,0.422222222,Fri,android,35897499,100169,500169,0,2,0,0,0,0,1,0,0
5084244,0.3,0,0014-12-12 15:08:40,0014-12-12 15:47:04,15,15,0.64,Fri,android,35897499,100280,500280,0,2,0,0,0,0,1,0,0
2948436,1.82,0,0014-12-17 20:30:25,0014-12-17 21:31:04,20,21,1.010833333,Wed,android,35897499,101158,501158,0,2,0,0,1,0,0,0,0
3515913,0.81,0,0014-12-18 17:53:19,0014-12-18 18:04:04,17,18,0.179166667,Thu,android,35897499,100085,500085,0,3,0,0,0,1,0,0,0
8490014,1.98,0,0014-12-18 18:06:49,0014-12-18 18:30:05,18,18,0.387777778,Thu,android,35897499,100196,500196,0,2,0,0,0,1,0,0,0
7075912,4.56,0,0014-12-18 18:31:54,0014-12-18 20:57:04,18,20,2.419444444,Thu,android,35897499,100603,500603,0,2,0,0,0,1,0,0,0
5226095,2.05,0,0014-12-19 14:30:37,0014-12-19 15:12:04,14,15,0.690833333,Fri,android,35897499,100936,500936,0,2,0,0,0,0,1,0,0
9342496,5.3,0,0015-01-07 17:52:53,0015-01-07 20:54:03,17,20,3.019444444,Wed,android,35897499,101047,501047,0,1,0,0,1,0,0,0,0
1853945,0,0,0015-01-09 13:59:09,0015-01-09 14:21:03,13,14,0.365,Fri,android,35897499,100825,500825,0,2,0,0,0,0,1,0,0
2113485,7.85,0.5,0015-01-12 17:39:36,0015-01-12 21:48:04,17,21,4.141111111,Mon,android,35897499,100539,500539,0,1,1,0,0,0,0,0,0
7492587,8.49,0,0015-01-16 17:23:35,0015-01-16 19:03:04,17,19,1.658055556,Fri,android,35897499,101861,501861,0,4,0,0,0,0,1,0,0
1111437,7.52,0,0015-01-16 19:04:38,0015-01-16 21:14:04,19,21,2.157222222,Fri,android,35897499,101417,501417,0,2,0,0,0,0,1,0,0
4716378,5.38,0,0015-01-21 18:01:25,0015-01-21 20:19:04,18,20,2.294166667,Wed,android,35897499,100418,500418,0,1,0,0,1,0,0,0,0
4187340,3.42,0,0015-01-29 16:34:34,0015-01-29 17:25:05,16,17,0.841944444,Thu,android,35897499,102046,502046,0,2,0,0,0,1,0,0,0
7934936,0.09,0,0015-01-30 18:47:08,0015-01-30 18:49:04,18,18,0.032222222,Fri,android,35897499,102675,502675,0,4,0,0,0,0,1,0,0
